fid,customer_name,account_site_nbr,state,latitude,longitude,new_tgt_cnt_4mi,new_tgt_cnt_3mi,new_tgt_cnt_2mi
10193,Dollar Tree,"46303308",IL,41.939,-87.768,29,14,7
10194,Family Dollar,"9682173",IL,41.939,-87.732,31,16,6
10195,Dollar Tree,"2326640",IL,41.939,-88.11,19,17,11
10196,Walmart,"7261348",IL,41.939,-88.105,20,17,13
10197,Dollar Tree,"64191265",IL,41.939,-87.807,23,19,11
10198,Dollar Tree,"8425208",IL,41.942,-87.729,31,17,8
10199,Family Dollar,"7629394",IL,41.942,-87.728,30,17,9
10200,Target,"9193734",IL,41.942,-87.669,67,48,26
10201,Target,"42755727",IL,41.945262,-87.701299,56,25,12
10202,Family Dollar,"9959389",IL,41.946,-87.713,43,21,10
10203,Family Dollar,"9980929",IL,41.947,-87.713,42,21,10
10204,Target,"5498901",IL,41.947,-87.702,55,26,10
10205,Home Depot,"1968540",IL,41.947,-87.704,54,24,11
10206,Dollar Tree,"46501606",IL,41.947,-87.702,55,26,10
10207,Walmart,"6665833",IL,41.948,-87.648,54,37,25
10208,Whole Foods,"8244958",IL,41.949,-87.65,53,37,25
10209,Walmart,"7324231",IL,41.949,-88.034,12,7,1
10210,Macy�s,"8267256",IL,41.95,-88.112,18,14,11
10211,Family Dollar,"2738221",IL,41.95,-87.713,38,19,10
10212,Macy�s,"5786869",IL,41.952,-88.083,17,11,4
10213,Dollar Tree,"8290250",IL,41.953,-87.77,28,18,5
10214,Meijer,"6130918",IL,41.954,-88.12,18,12,11
10215,Family Dollar,"2737656",IL,41.954,-87.749,28,16,7
10216,Target,"7264827",IL,41.954,-87.807,26,19,11
10217,Target,"2224281",IL,41.955,-87.807,26,19,11
10218,Dollar Tree,"46501576",IL,41.956,-87.748,28,16,7
10219,Dollar Tree,"6648076",IL,41.958,-88.075,14,10,1
10220,Dollar Tree,"64039870",IL,41.96,-87.948,5,2,1
10221,Family Dollar,"9682138",IL,41.961,-87.718,31,20,11
10222,Family Dollar,"4706327",IL,41.962,-87.69,53,30,13
10223,Target,"6097581",IL,41.963,-87.656,51,32,17
10224,Family Dollar,"9682172",IL,41.966,-87.657,50,26,17
10225,Target,"5509932",IL,41.966,-87.992,15,9,3
10226,Target,"42755540",IL,41.967298,-87.993031,15,10,3
10227,Family Dollar,"9682152",IL,41.968,-87.71,35,18,10
10228,Family Dollar,"7305000",IL,41.97,-87.655,44,25,13
10229,Dollar Tree,"7848394",IL,41.971,-87.728,27,19,8
10230,Dollar Tree,"4730215",IL,41.971,-87.701,43,22,12
10231,Home Depot,"67248988",IL,41.973,-88.207,5,3,3
10232,Dollar Tree,"8224741",IL,41.976,-88.208,5,3,2
10233,Family Dollar,"2738249",IL,41.976,-87.768,25,9,4
10234,Dollar Tree,"64166112",IL,41.977,-87.77,25,10,4
10235,Dollar Tree,"6594067",IL,41.979,-87.693,42,27,8
10236,Dollar Tree,"6785662",IL,41.98,-87.807,23,17,4
10237,Family Dollar,"2738390",IL,41.986,-87.66,31,19,13
10238,Family Dollar,"9682198",IL,41.99,-87.702,39,22,5
10239,Whole Foods,"8142167",IL,41.991,-87.66,27,18,11
10240,Target,"7264885",IL,41.991,-87.682,37,23,10
10241,Target,"42755761",IL,41.991364,-87.681504,37,23,12
10242,Family Dollar,"9682086",IL,41.994,-88.145,11,7,3
10243,Home Depot,"2321426",IL,41.995,-87.714,37,12,8
10244,Family Dollar,"2738228",IL,41.995,-87.69,36,22,6
10245,Dollar Tree,"5744915",IL,41.997,-87.717,33,14,7
10246,Dollar Tree,"66596270",IL,41.998,-87.701,33,20,8
10247,Target,"9799557",IL,41.999,-87.661,30,15,8
10248,Walmart,"29952638",IL,42.002,-88.046,13,8,2
10249,Walmart,"9992377",IL,42.006,-87.712,33,16,7
10250,Target,"5501291",IL,42.008,-87.885,10,7,1
10251,Family Dollar,"4689765",IL,42.008,-87.667,27,14,7
10252,Home Depot,"1986073",IL,42.008,-88.046,14,7,3
10253,Dollar Tree,"46474897",IL,42.01,-87.695,32,20,11
10254,Dollar Tree,"46501827",IL,42.011,-88.145,12,10,7
10255,Walmart,"7931770",IL,42.012,-87.719,26,19,8
10256,Target,"5509923",IL,42.012,-87.781,17,12,3
10257,Walmart,"66506484",IL,42.012,-87.769,24,9,4
10258,Dollar Tree,"8071728",IL,42.013,-87.806,15,10,7
10259,Target,"42755690",IL,42.013039,-87.779946,18,13,3
10260,Walmart,"24976350",IL,42.015,-88.147,13,10,7
10261,Dollar Tree,"8306147",IL,42.017,-88.08,13,8,3
10262,Target,"5518641",IL,42.017,-88.201,5,3,3
10263,Target,"42755697",IL,42.017377,-88.200281,7,3,3
10264,Family Dollar,"2738164",IL,42.019,-87.689,29,18,9
10265,Target,"5509746",IL,42.019,-87.704,28,18,12
10266,Target,"42763632",IL,42.02068,-87.705314,29,18,12
10267,Target,"42764061",IL,42.022858,-88.146038,16,10,7
10268,Dollar Tree,"64039897",IL,42.024,-87.899,11,7,4
10269,Home Depot,"31544622",IL,42.024,-87.801,18,10,5
10270,Target,"5505474",IL,42.025,-88.145,16,10,7
10271,Home Depot,"31683584",IL,42.026,-88.145,16,11,7
10272,Home Depot,"31903304",IL,42.027,-87.705,25,20,13
10273,Dollar Tree,"63992744",IL,42.038,-88.048,18,13,6
10274,Target,"5509968",IL,42.039,-88.048,18,12,6
10275,Home Depot,"67409945",IL,42.04,-87.842,14,10,5
10276,Target,"9193745",IL,42.041,-87.752,22,13,9
10277,Dollar Tree,"8626162",IL,42.041,-87.7,25,18,8
10278,Dollar Tree,"8864002",IL,42.041,-87.731,29,18,10
10279,Target,"9306058",IL,42.047,-87.682,17,10,6
10280,Dollar Tree,"9920050",IL,42.048,-87.887,13,5,4
10281,Dollar Tree,"5017166",IL,42.048,-87.94,12,4,3
10282,Walmart,"7945079",IL,42.048,-87.938,11,4,3
10283,Macy�s,"5786873",IL,42.049,-88.038,15,12,6
10284,Meijer,"6130939",IL,42.049,-87.996,13,3,2
10285,Whole Foods,"8773678",IL,42.049,-87.69,19,11,7
10286,Macy�s,"5786198",IL,42.05,-88.045,16,11,7
10287,Target,"5509403",IL,42.05,-87.84,12,10,5
10288,Macy�s,"6591913",IL,42.051,-88.041,14,11,7
10289,Walmart,"66603587",IL,42.051,-87.999,14,4,2
10290,Dollar Tree,"6200310",IL,42.051,-87.983,9,4,2
10291,Dollar Tree,"9548725",IL,42.053,-87.747,15,13,6
10292,Walmart,"4830452",IL,42.055,-87.837,12,10,5
10293,Meijer,"5955262",IL,42.055,-87.854,14,7,4
10294,Dollar Tree,"5600032",IL,42.055,-87.824,11,10,5
10295,Whole Foods,"46465588",IL,42.055,-87.7,21,11,5
10296,Macy�s,"7978047",IL,42.056,-87.8,14,8,1
10297,Metro,"46368434",IL,42.067,-87.987,12,4,3
10298,Whole Foods,"43263662",IL,42.067888,-87.702276,16,6,2
10299,Whole Foods,"8347563",IL,42.068,-87.702,16,6,2
10300,Whole Foods,"6236256",IL,42.068,-87.703,16,6,1
10301,Walmart,"25906380",IL,42.069,-87.924,10,5,4
10302,Target,"7264905",IL,42.074,-88.19,2,1,1
10303,Target,"42763579",IL,42.074146,-88.193068,2,1,1
10304,Dollar Tree,"67289242",IL,42.078,-88.019,10,7,3
10305,Home Depot,"45772924",IL,42.081,-87.932,10,7,4
10306,Walmart,"25853198",IL,42.093,-88.258,7,6,1
10307,Target,"5509321",IL,42.1,-87.961,14,11,5
10308,Target,"42763585",IL,42.102367,-87.964075,13,11,6
10309,Macy�s,"15207315",IL,42.105,-87.847,12,6,1
10310,Target,"5509327",IL,42.105,-87.813,9,8,5
10311,Family Dollar,"2738179",IL,42.107,-87.891,6,3,2
10312,Home Depot,"4860544",IL,42.107,-87.823,10,8,6
10313,Whole Foods,"2934383",IL,42.111,-88.04,5,2,1
10314,Dollar Tree,"6785298",IL,42.114,-87.983,12,9,6
10315,Dollar Tree,"67355302",IL,42.119,-88.035,7,2,
10316,Walmart,"8726765",IL,42.121,-88.26,8,4,1
10317,Dollar Tree,"6869541",IL,42.131,-87.828,22,12,4
10318,Target,"42755491",IL,42.137022,-88.027032,10,5,2
10319,Walmart,"7360180",IL,42.138,-88.02,11,3,3
10320,Dollar Tree,"4730209",IL,42.139,-88.028,10,5,2
10321,Home Depot,"64311732",IL,42.139,-88.023,10,4,2
10322,Target,"5510154",IL,42.139,-88.027,10,5,2
10323,Dollar Tree,"6784658",IL,42.139,-87.986,12,8,3
10324,Dollar Tree,"42423136",IL,42.1395,-87.95385,13,5,2
10325,Macy�s,"5786877",IL,42.152,-87.817,18,9,3
10326,Home Depot,"65163362",IL,42.153,-87.843,17,16,13
10327,Walmart,"28112989",IL,42.154,-87.953,7,6,3
10328,Target,"5501106",IL,42.154,-87.951,7,5,3
10329,Target,"42763873",IL,42.154372,-87.950228,7,4,3
10330,Walmart,"7337104",IL,39.007,-87.724,3,3,1
10331,Dollar Tree,"63916428",IL,41.947,-88.725,14,9,8
10332,Walmart,"7261250",IL,41.95,-88.722,14,10,7
10333,Target,"5873907",IL,41.956,-88.725,13,10,8
10334,Family Dollar,"7351154",IL,41.988,-88.679,3,2,
10335,Walmart,"24974153",IL,40.149,-88.976,5,5,4
10336,Dollar Tree,"8707811",IL,40.149,-88.961,5,5,5
10337,Pilot,"5797820",IL,39.792,-88.259,2,2,2
10338,Walmart,"2540016",IL,39.519,-87.678,,,
10339,Dollar Tree,"9366137",IL,39.608,-87.693,2,2,2
10340,Dollar Tree,"2716421",IL,39.123,-88.55,7,7,7
10341,Family Dollar,"5911118",IL,39.123,-88.556,7,7,7
10342,Walmart,"13034502",IL,39.141,-88.562,7,5,2
10343,Pilot,"65007034",IL,39.149,-88.53,7,5,
10344,Pilot,"42979190",IL,39.149198,-88.529828,7,4,
10345,Walmart,"15614131",IL,38.964,-89.108,1,1,1
10346,Walmart,"2233046",IL,38.967,-89.135,1,1,
10347,Dollar Tree,"6866367",IL,38.968,-89.107,1,1,1
10348,Family Dollar,"5909922",IL,40.455,-88.1,1,1,1
10349,Dollar Tree,"67226389",IL,37.899,-88.923,2,2,1
10350,Walmart,"14133377",IL,37.999,-88.915,1,1,1
10351,Dollar Tree,"6785753",IL,37.999,-88.915,1,1,1
10352,Walmart,"2002601",IL,38.001,-88.936,1,1,1
10353,Dollar Tree,"5648196",IL,40.557,-90.032,5,5,5
10354,Walmart,"26131587",IL,40.592,-90.036,5,1,
10355,Family Dollar,"9682248",IL,39.343,-90.211,,,
10356,Dollar Tree,"7696854",IL,41.371,-88.434,1,1,1
10357,Walmart,"64879003",IL,41.384,-88.419,1,1,1
10358,Walmart,"14500612",IL,41.385,-88.424,1,1,1
10359,Pilot,"42979215",IL,41.460845,-88.272078,2,1,1
10360,Pilot,"65006836",IL,41.461,-88.272,2,1,1
10361,Macy�s,"9966715",IL,41.463,-88.281,1,1,1
10362,Dollar Tree,"5505527",IA,40.404,-91.393,4,4,4
10363,Walmart,"2323203",IA,40.416,-91.408,4,4,3
10364,Walmart,"25277456",IA,40.422,-91.41,4,3,2
10365,Dollar Tree,"8699194",IA,40.632,-91.334,8,8,7
10366,Walmart,"13822039",IA,40.814,-91.16,10,8,8
10367,Target,"5510009",IA,40.821,-91.172,9,7,4
10368,Dollar Tree,"2578173",IA,40.823,-91.168,9,8,4
10369,Family Dollar,"5911149",IA,40.826,-91.139,10,9,5
10370,Walmart,"13391542",IL,41.221,-89.923,5,5,2
10371,Dollar Tree,"2837601",IL,41.239,-89.924,5,5,5
10372,Walmart,"2540019",IL,41.433,-90.155,1,1,
10373,Dollar Tree,"42526757",IL,41.43969,-90.14877,1,1,
10374,Walmart,"5443118",IL,41.504,-90.403,12,8,5
10375,Dollar Tree,"8839454",IL,41.504,-90.415,11,11,8
10376,Dollar Tree,"66892724",IL,41.506,-90.438,16,10,9
10377,Walmart,"25767321",IL,40.775,-87.706,,,
10378,Walmart,"6731905",IL,40.775,-87.698,,,
10379,Ahold Delhaize,"7484236",IL,37.6,-89.191,,,
10380,Ahold Delhaize,"43061194",IL,37.600705,-89.192478,,,
10381,Dollar Tree,"65866800",IL,37.726,-89.224,18,17,4
10382,Family Dollar,"7227254",IL,37.726,-89.23,18,12,4
10383,Macy�s,"6095922",IL,37.731,-89.192,18,17,15
10384,Walmart,"14133385",IL,37.737,-89.184,17,17,13
10385,Walmart,"2540014",IL,37.758,-89.328,2,2,1
10386,Walmart,"5447888",IL,37.76,-89.281,1,,
10387,Walmart,"14133369",IL,37.766,-89.339,2,2,1
10388,Dollar Tree,"5279173",IL,37.766,-89.339,2,2,1
10389,Walmart,"15588238",IL,38.3,-88.96,9,8,6
10390,Family Dollar,"5910228",IL,38.311,-88.903,10,9,7
10391,Pilot,"7762903",IL,38.311,-88.957,13,8,7
10392,Pilot,"42979572",IL,38.311739,-88.957456,13,8,7
10393,Pilot,"42979369",IL,38.312689,-88.961054,10,8,7
10394,Dollar Tree,"4730236",IL,38.318,-88.91,14,9,7
10395,Pilot,"5354963",IL,38.32,-88.91,14,9,7
10396,Macy�s,"8550658",IL,38.952,-90.21,3,2,1
10397,Walmart,"6356661",IL,38.965,-90.193,2,1,1
10398,Walmart,"46310533",IL,39.103,-90.318,2,2,2
10399,Family Dollar,"5909873",IL,39.115,-90.323,2,2,2
10400,Walmart,"14134047",IL,39.12,-90.329,2,2,2
10401,Family Dollar,"7357080",IL,42.357,-90.006,1,1,1
10402,Walmart,"2665367",IL,42.432,-90.447,1,1,1
10403,Family Dollar,"9682277",IL,37.416,-88.896,1,1,1
10404,Family Dollar,"9713478",IL,37.553,-88.974,,,
10405,Family Dollar,"7390395",IL,37.554,-88.975,,,
10406,Walmart,"5315915",IL,41.722,-88.375,4,1,
10407,Dollar Tree,"5356167",IL,41.722,-88.318,11,9,3
10408,Family Dollar,"6277087",IL,41.724,-88.32,11,9,3
10409,Family Dollar,"9682127",IL,41.729,-88.321,15,10,2
10410,Family Dollar,"4927355",IL,41.752,-88.289,16,8,5
10411,Dollar Tree,"8024950",IL,41.754,-88.293,16,7,5
10412,Family Dollar,"2737143",IL,41.755,-88.308,11,7,6
10413,Family Dollar,"42978069",IL,41.755764,-88.307585,11,7,6
10414,Dollar Tree,"6476617",IL,41.764,-88.364,6,5,2
10415,Walmart,"28113292",IL,41.766,-88.368,6,4,2
10416,Home Depot,"67218448",IL,41.77,-88.352,8,6,3
10417,Family Dollar,"9682126",IL,41.774,-88.314,14,10,3
10418,Family Dollar,"2737429",IL,41.777,-88.282,16,11,6
10419,Dollar Tree,"8177220",IL,41.783,-88.318,17,9,1
10420,Target,"7264937",IL,41.797,-88.363,6,4,3
10421,Target,"42763899",IL,41.798009,-88.365273,6,4,3
10422,Dollar Tree,"46303243",IL,41.799,-88.361,6,4,3
10423,Walmart,"5443154",IL,41.816,-88.28,8,5,3
10424,Target,"5510069",IL,41.852,-88.342,6,5,3
10425,Target,"42755720",IL,41.852293,-88.342787,6,5,3
10426,Walmart,"2945416",IL,41.863,-88.341,7,5,3
10427,Dollar Tree,"67292413",IL,41.865,-88.339,7,6,3
10428,Meijer,"66249651",IL,41.9,-88.34,6,5,3
10429,Meijer,"42738115",IL,41.900422,-88.340238,6,5,3
10430,Dollar Tree,"6551836",IL,41.921,-88.28,7,6,4
10431,Target,"5518658",IL,41.975,-88.341,8,4,2
10432,Target,"42755453",IL,41.975961,-88.343844,8,4,2
10433,Home Depot,"5342449",IL,41.983,-88.341,9,7,2
10434,Walmart,"6636014",IL,42.004,-88.336,12,10,7
10435,Meijer,"67215641",IL,42.012,-88.335,13,11,5
10436,Dollar Tree,"5505481",IL,42.018,-88.337,13,10,4
10437,Target,"42763516",IL,42.025862,-88.342099,11,7,3
10438,Target,"5505476",IL,42.026,-88.342,11,7,3
10439,Family Dollar,"2737362",IL,42.026,-88.314,13,9,6
10440,Family Dollar,"9682079",IL,42.029,-88.277,6,4,3
10441,Family Dollar,"9682080",IL,42.049,-88.274,5,5,2
10442,Home Depot,"65638700",IL,42.051,-88.339,7,6,1
10443,Walmart,"29412641",IL,42.053,-88.337,7,4,2
10444,Dollar Tree,"7696930",IL,42.055,-88.315,8,4,2
10445,Target,"5509922",IL,42.097,-88.296,9,7,5
10446,Dollar Tree,"67287937",IL,42.098,-88.288,7,7,5
10447,Pilot,"5798388",IL,42.099,-88.518,,,
10448,Macy�s,"5786871",IL,42.1,-88.293,9,7,5
10449,Home Depot,"2647195",IL,42.126,-88.293,13,6,2
10450,Pilot,"9127522",IL,42.149,-88.513,,,
10451,Walmart,"5845577",IL,42.152,-88.433,2,2,1
10452,Walmart,"5443152",IL,41.08,-87.861,6,4,
10453,Dollar Tree,"5619732",IL,41.113,-87.864,6,6,5
10454,Family Dollar,"9682203",IL,41.113,-87.864,6,6,5
10455,Family Dollar,"5910413",IL,41.118,-87.864,7,6,5
10456,Family Dollar,"5909863",IL,41.119,-87.852,7,6,3
10457,Family Dollar,"9408836",IL,41.12,-87.854,7,6,3
10458,Dollar Tree,"66045991",IL,41.145,-87.856,15,10,3
10459,Target,"42755718",IL,41.174152,-87.854269,11,11,9
10460,Target,"5509938",IL,41.175,-87.851,11,11,9
10461,Dollar Tree,"43276817",IA,41.18063041,-87.87557997,11,10,8
10462,Walmart,"5447891",IL,41.19,-87.847,10,8,4
10463,Family Dollar,"9682093",IL,41.265,-88.213,3,2,2
10464,Walmart,"46438882",IL,41.657,-88.558,3,3,1
10465,Family Dollar,"9682128",IL,41.663,-88.532,3,3,2
10466,Target,"5482291",IL,41.663,-88.465,3,1,1
10467,Dollar Tree,"7374073",IL,41.664,-88.462,2,1,1
10468,Home Depot,"5386956",IL,41.665,-88.459,1,1,1
10469,Home Depot,"67295694",IL,41.697,-88.32,9,7,6
10470,Target,"5501120",IL,41.698,-88.32,9,7,6
10471,Dollar Tree,"42564546",IL,41.703318,-88.309265,9,8,6
10472,Walmart,"5306092",IL,41.704,-88.303,9,8,7
10473,Dollar Tree,"5277509",IL,41.719,-88.374,3,1,
10474,Family Dollar,"5911119",IL,40.947,-90.353,8,4,4
10475,Dollar Tree,"2833847",IL,40.952,-90.37,8,8,3
10476,Walmart,"13352520",IL,40.973,-90.38,8,7,4
10477,Target,"5509959",IL,40.976,-90.387,7,6,4
10478,Walmart,"5290075",IL,40.981,-90.36,8,4,2
10479,Family Dollar,"8204106",IL,41.054,-89.05,,,
10480,Dollar Tree,"67302943",IL,41.12,-88.831,9,9,6
10481,Family Dollar,"5909842",IL,41.136,-88.836,9,9,7
10482,Walmart,"7359907",IL,41.15,-88.836,9,7,5
10483,Dollar Tree,"5920226",IL,41.335,-89.123,11,10,6
10484,Dollar Tree,"67444352",IL,41.345,-88.842,1,1,1
10485,Walmart,"14498871",IL,41.359,-89.127,11,9,8
10486,Home Depot,"67382180",IL,41.361,-89.129,11,9,7
10487,Target,"5510163",IL,41.362,-89.129,11,9,7
10488,Family Dollar,"9682224",IL,41.551,-89.119,,,
10489,Pilot,"5797821",IL,41.555,-89.108,,,
10490,Walmart,"4823604",IL,42.176,-87.937,6,4,3
10491,Whole Foods,"8773531",IL,42.185,-88.05,7,5,3
10492,Walmart,"24976318",IL,42.186,-88.088,7,5,3
10493,Target,"42755601",IL,42.186558,-88.10421,7,4,2
10494,Target,"5509712",IL,42.187,-88.104,7,4,2
10495,Home Depot,"67223770",IL,42.188,-88.096,8,4,3
10496,Dollar Tree,"66168406",IL,42.19,-88.108,6,5,2
10497,Target,"5509322",IL,42.191,-87.827,8,6,2
10498,Target,"42763683",IL,42.192012,-87.825364,8,5,2
10499,Macy�s,"7792714",IL,42.197,-87.968,6,3,
10500,Home Depot,"66403243",IL,42.236,-87.944,17,11,10
10501,Target,"42755730",IL,42.238784,-87.957085,16,13,10
10502,Target,"5505477",IL,42.239,-87.957,16,13,10
10503,Walmart,"25278452",IL,42.24,-87.95,17,12,10
10504,Dollar Tree,"5356143",IL,42.241,-87.957,16,13,10
10505,Whole Foods,"9521314",IL,42.242,-87.945,17,12,10
10506,Dollar Tree,"9630455",IL,42.244,-87.994,14,8,4
10507,Macy�s,"6887940",IL,42.245,-87.947,16,12,10
10508,Dollar Tree,"67409965",IL,42.258,-88.157,,,
10509,Target,"5518654",IL,42.267,-87.991,11,5,2
10510,Dollar Tree,"63730529",IL,42.271,-88.008,5,3,1
10511,Home Depot,"2932263",IL,42.284,-88.048,1,,
10512,Target,"42763668",IL,42.284442,-88.044517,1,1,
10513,Family Dollar,"2738203",IL,42.319,-87.853,4,2,2
10514,Home Depot,"2646815",IL,42.32,-88.153,2,1,1
10515,Family Dollar,"9682083",IL,42.334,-87.856,5,3,
10516,Walmart,"4778674",IL,42.345,-87.898,3,3,3
10517,Dollar Tree,"5539560",IL,42.346,-87.901,4,3,3
10518,Family Dollar,"10333351",IL,42.347,-87.883,3,3,3
10519,Family Dollar,"5239111",IL,42.349,-87.832,1,,
10520,Dollar Tree,"46474838",IL,42.35,-87.867,3,3,2
10521,Home Depot,"66282268",IL,42.35,-87.857,3,2,1
10522,Family Dollar,"9682076",IL,42.36,-87.845,3,1,
10523,Home Depot,"67237183",IL,42.363,-88.164,2,1,1
10524,Family Dollar,"4881521",IL,42.37,-87.888,6,3,1
10525,Family Dollar,"9682082",IL,42.371,-87.887,6,3,1
10526,Family Dollar,"2737435",IL,42.379,-87.855,4,1,1
10527,Walmart,"15589161",IL,42.379,-88.065,5,4,3
10528,Dollar Tree,"46474854",IL,42.379,-88.077,4,4,4
10529,Target,"9193832",IL,42.383,-87.966,8,8,7
10530,Home Depot,"46739491",IL,42.384,-87.968,8,8,7
10531,Macy�s,"7791365",IL,42.384,-87.971,8,8,7
10532,Walmart,"26131323",IL,42.385,-87.966,8,8,7
10533,Walmart,"6002520",IL,42.398,-88.068,4,4,1
10534,Family Dollar,"9682081",IL,42.399,-88.181,1,,
10535,Dollar Tree,"6476797",IL,42.404,-88.181,1,,
10536,Family Dollar,"2737384",IL,42.405,-88.181,1,,
10537,Target,"5509427",IL,42.408,-87.856,5,2,2
10538,Dollar Tree,"5706371",IL,42.411,-87.855,5,2,2
10539,Dollar Tree,"67367683",IL,42.434,-87.826,6,6,4
10540,Family Dollar,"5477090",IL,42.458,-87.826,6,6,4
10541,Walmart,"5511627",IL,42.465,-87.869,4,1,1
10542,Walmart,"2625229",IL,42.469,-88.065,3,3,1
10543,Walmart,"2571753",IN,38.67,-87.518,3,3,2
10544,Walmart,"46184813",IN,38.678,-87.515,3,3,2
10545,Dollar Tree,"46874674",IN,38.679,-87.512,3,3,2
10546,Walmart,"12102652",IL,38.726,-87.687,,,
10547,Walmart,"5494172",IL,38.728,-87.699,,,
10548,Walmart,"9173274",IL,41.827,-89.475,1,1,1
10549,Dollar Tree,"5240368",IL,41.844,-89.486,1,1,1
10550,Family Dollar,"8186549",IL,40.744,-88.514,1,1,1
10551,Walmart,"25767550",IL,40.874,-88.662,,,
10552,Dollar Tree,"5402715",IL,40.878,-88.631,,,
10553,Macy�s,"8566835",IL,40.882,-88.768,,,
10554,Family Dollar,"9682102",IL,41.093,-88.442,4,4,3
10555,Dollar Tree,"2209273",IL,40.152,-89.365,2,2,2
10556,Pilot,"6375119",IL,40.156,-89.412,1,1,
10557,Walmart,"5097837",IL,40.156,-89.396,2,1,1
10558,Pilot,"42979389",IL,40.15635,-89.41235,1,1,
10559,Walmart,"15594394",IL,40.158,-89.394,2,1,1
10560,Family Dollar,"5911307",IL,40.158,-89.38,2,2,1
10561,Walmart,"65895126",IL,39.82,-88.885,5,2,1
10562,Pilot,"9750779",IL,39.822,-88.959,9,8,5
10563,Family Dollar,"5909845",IL,39.845,-88.925,12,4,3
10564,Dollar Tree,"46475362",IL,39.853,-88.943,17,15,3
10565,Pilot,"5254656",IL,39.854,-88.943,17,12,2
10566,Family Dollar,"5910014",IL,39.855,-88.969,17,10,8
10567,Dollar Tree,"6648048",IL,39.859,-88.938,16,12,2
10568,Family Dollar,"9682261",IL,39.871,-88.95,13,11,8
10569,Target,"7264844",IL,39.89,-88.958,14,10,8
10570,Target,"42755754",IL,39.890051,-88.95901,13,11,8
10571,Walmart,"7261011",IL,39.9,-88.954,12,12,5
10572,Pilot,"42979296",IL,39.90741,-88.895591,1,,
10573,Dollar Tree,"46431977",IL,39.923,-88.962,5,4,4
10574,Family Dollar,"9938375",IL,39.094,-89.803,2,1,1
10575,Family Dollar,"5910771",IL,39.1,-89.815,2,2,1
10576,Family Dollar,"5909881",IL,39.498,-89.769,1,1,1
10577,Family Dollar,"8636023",MO,38.671,-90.239,8,6,3
10578,Home Depot,"5078416",IL,38.674,-90.014,1,1,1
10579,Walmart,"5266133",IL,38.675,-90.017,1,1,1
10580,Dollar Tree,"9549003",IL,38.676,-89.999,2,1,1
10581,Walmart,"14133512",IL,38.679,-89.992,2,2,1
10582,Family Dollar,"5239114",IL,38.683,-90.148,3,2,2
10583,Family Dollar,"2830699",MO,38.683,-90.246,10,5,2
10584,Family Dollar,"4743474",MO,38.688,-90.275,15,6,2
10585,Walmart,"2571754",IL,38.688,-90.026,1,1,1
10586,Walmart,"9198057",IL,38.691,-89.987,2,2,
10587,Family Dollar,"5910668",IL,38.694,-89.968,2,1,1
10588,Family Dollar,"8175785",MO,38.706,-90.269,16,8,7
10589,Family Dollar,"2737388",IL,38.709,-90.122,4,3,1
10590,Family Dollar,"4881518",MO,38.714,-90.257,15,11,4
10591,Dollar Tree,"65111877",IL,38.717,-90.133,4,3,2
10592,Family Dollar,"2830717",MO,38.721,-90.239,12,9,3
10593,Dollar Tree,"8302001",MO,38.725,-90.258,17,10,7
10594,Family Dollar,"2737451",MO,38.725,-90.258,17,10,7
10595,Family Dollar,"2737683",IL,38.729,-90.124,3,2,2
10596,Dollar Tree,"65545761",IL,38.73,-89.896,2,2,2
10597,Pilot,"42979222",IL,38.730849,-89.907076,2,2,1
10598,Pilot,"64175413",IL,38.731,-89.907,2,2,1
10599,Family Dollar,"7267209",MO,38.733,-90.241,13,9,7
10600,Walmart,"28100093",IL,38.735,-90.143,3,2,2
10601,Walmart,"23794461",MO,38.74,-90.26,20,12,7
10602,Dollar Tree,"8297638",IL,38.744,-89.676,2,2,2
10603,Family Dollar,"2738176",MO,38.745,-90.252,18,10,6
10604,Walmart,"12037222",IL,38.748,-89.679,2,2,2
10605,Family Dollar,"2737676",MO,38.751,-90.224,11,9,6
10606,Walmart,"67234245",IL,38.76,-89.684,2,2,2
10607,Family Dollar,"9727473",MO,38.767,-90.263,18,7,3
10608,Home Depot,"64802361",MO,38.769,-90.265,17,5,3
10609,Macy�s,"67082807",MO,38.771,-90.219,9,6,3
10610,Family Dollar,"7215316",MO,38.773,-90.221,7,6,3
10611,Walmart,"46795766",IL,38.776,-89.955,8,7,5
10612,Home Depot,"67334075",IL,38.781,-89.951,8,7,6
10613,Walmart,"7836903",IL,38.782,-89.957,8,7,6
10614,Target,"42763554",IL,38.783084,-89.949112,7,7,6
10615,Target,"5509797",IL,38.786,-89.951,7,7,6
10616,Family Dollar,"9727475",MO,38.793,-90.266,14,6,2
10617,Family Dollar,"2737529",MO,38.794,-90.214,6,4,1
10618,Family Dollar,"6326929",MO,38.795,-90.234,8,6,1
10619,Dollar Tree,"4730232",IL,38.8,-89.953,7,7,7
10620,Macy�s,"6095919",MO,38.819,-90.245,4,2,2
10621,Dollar Tree,"64314804",IL,38.864,-90.085,5,4,3
10622,Walmart,"4701174",IL,38.869,-90.068,5,3,3
10623,Family Dollar,"7317840",IL,38.874,-90.099,5,4,2
10624,Dollar Tree,"2837600",IL,38.895,-90.16,6,6,3
10625,Dollar Tree,"9012098",IL,38.91,-90.049,1,,
10626,Home Depot,"2952290",IL,38.919,-90.166,8,6,4
10627,Target,"5504870",IL,38.921,-90.173,8,6,3
